"i","j","P_ij","F_ij"
1,1,0.999999226060276,0.188278888238484
1.1,1,0.999999183563768,0.203179422196473
1.2,1,0.999999138566503,0.219165557324874
1.3,1,0.999999090960668,0.236261857069635
1.4,1,0.999999040623967,0.254493385097389
1.5,1,0.999998987427366,0.273879699171054
1.6,1,0.999998931236978,0.294432509820934
1.7,1,0.999998871914915,0.316154006375966
1.8,1,0.999998809319833,0.33903550208416
1.9,1,0.999998743307588,0.363056444109307
2,1,0.999998673733428,0.388184599349484
2.1,1,0.999998600454795,0.414375933939103
2.2,1,0.99999852330229,0.441552093027966
2.3,1,0.999998442105482,0.469617087518724
2.4,1,0.99999835669207,0.498456681292387
2.5,1,0.999998266886569,0.527936752669549
2.6,1,0.999998172510516,0.55790276857698
2.7,1,0.999998073383145,0.588179695905943
2.8,1,0.999997969322841,0.618572068378809
2.9,1,0.999997860151034,0.648863341749586
3,1,0.999997745709611,0.678808951433958
3.1,1,0.999997625883294,0.708129503123339
3.2,1,0.999997500354588,0.736643704154633
3.3,1,0.999997368818871,0.764154988908748
3.4,1,0.99999723097344,0.790458171064582
3.5,1,0.999997086501604,0.815349833855079
3.6,1,0.999996935068046,0.838632741385436
3.7,1,0.99999677631605,0.860119009520812
3.8,1,0.999996609865348,0.879632433397224
3.9,1,0.999996435311186,0.897009148016949
4,1,0.999996252231282,0.91209031025942
4.1,1,0.999996060195321,0.924718519939097
4.2,1,0.999995858609325,0.934896871271228
4.3,1,0.999995646844035,0.942638079885068
4.4,1,0.999995424222685,0.947967336968385
4.5,1,0.999995190005083,0.950930376998387
4.6,1,0.99999494337737,0.951593852666601
4.7,1,0.999994683440557,0.95004416795718
4.8,1,0.999994409194709,0.946385877185746
4.9,1,0.999994119512056,0.940740336918426
5,1,0.999993813059977,0.933247059139509
5.1,1,0.999993488204184,0.924069950041379
5.2,1,0.999993143849959,0.913357197715143
5.3,1,0.9999927786637,0.901276342044834
5.4,1,0.999992391090066,0.888002434301977
5.5,1,0.9999919793833,0.873711889244492
5.6,1,0.999991541593556,0.858579642151997
5.7,1,0.999991075537577,0.842777450731191
5.8,1,0.999990578750212,0.826473451210234
5.9,1,0.99999004839299,0.809834362248804
6,1,0.999989480967395,0.793040280082585
6.1,1,0.999988871944071,0.776301002957341
6.2,1,0.999988219065257,0.759636234882202
6.3,1,0.999987519362526,0.743105055100992
6.4,1,0.999986769243163,0.726783375124946
6.5,1,0.999985964640116,0.710747062531191
6.6,1,0.999985100994942,0.695068476475127
6.7,1,0.999984173192567,0.679815895018775
6.8,1,0.999983175446851,0.66505465057881
6.9,1,0.999982101083366,0.650851101219808
7,1,0.999980941866224,0.637290133369245
7.1,1,0.999979687102516,0.624491790271951
7.2,1,0.999978331253471,0.612366404267643
7.3,1,0.999976867167566,0.600871997715078
7.4,1,0.999975286254943,0.589992437521595
7.5,1,0.999973578826069,0.579719109572892
7.6,1,0.999971734053357,0.57004702035529
7.7,1,0.999969739827174,0.560973816921559
7.8,1,0.999967582509769,0.552500243976403
7.9,1,0.999965246486773,0.544632599005544
8,1,0.999962712854393,0.537394288866309
8.1,1,0.99995995763436,0.530836077677428
8.2,1,0.999956965886494,0.524868431769352
8.3,1,0.999953719262062,0.519434206589292
8.4,1,0.999950196217147,0.514495866205323
8.5,1,0.999946372557535,0.510023196814763
8.6,1,0.999942221285064,0.505990466883172
8.7,1,0.999937712239322,0.502375466563344
8.8,1,0.999932811539,0.499159361412333
8.9,1,0.999927480642765,0.496327387634022
9,1,0.999921673867797,0.493872810953391
9.1,1,0.999915334981079,0.491799225856395
9.2,1,0.999908421529778,0.490057424593983
9.3,1,0.999900883244095,0.488609010327147
9.4,1,0.999892662060417,0.487423527026797
9.5,1,0.999883692735022,0.486474132125925
9.6,1,0.999873902217067,0.485736514716558
9.7,1,0.999863208613637,0.485188448657227
9.8,1,0.999851519731014,0.484809539768188
9.9,1,0.999838730833343,0.484580897960517
10,1,0.999824719395573,0.484483785403583
10.1,1,0.999809337882212,0.484496156343302
10.2,1,0.999792459104056,0.484606188389926
10.3,1,0.999773935194911,0.484798693285554
10.4,1,0.999753596730072,0.485058517283469
10.5,1,0.999731252946867,0.485371817931871
10.6,1,0.999706689538561,0.485726274617352
10.7,1,0.999679665552795,0.486111110146846
10.8,1,0.999649909321942,0.486517001286451
10.9,1,0.999617112649376,0.486935692757469
11,1,0.999580918570675,0.487357906431688
11.1,1,0.99954090453596,0.487769183974528
11.2,1,0.999496675446032,0.48817539879324
11.3,1,0.999447777976586,0.488577280215323
11.4,1,0.999393696909683,0.488974548518714
11.5,1,0.999333853873527,0.489368013066306
11.6,1,0.999267601073312,0.489759984888317
11.7,1,0.999194213234726,0.490154436560359
11.8,1,0.999112877762705,0.490557171394037
11.9,1,0.999022681911703,0.490976181285681
12,1,0.998922589428708,0.491422993270324
12.1,1,0.998811409271503,0.491912593004329
12.2,1,0.998687942238607,0.492441070765609
12.3,1,0.998550841897467,0.493007897246296
12.4,1,0.998398605719958,0.493616009251681
12.5,1,0.998229571146227,0.494270474135973
12.6,1,0.998041904870781,0.494978187152763
12.7,1,0.997833591189998,0.495747891527197
12.8,1,0.997602420843707,0.496590578163745
12.9,1,0.997345982227797,0.497520781162498
13,1,0.997061663253433,0.498562366610993
13.1,1,0.99674666199876,0.499753959400884
13.2,1,0.996397816045552,0.501065485042665
13.3,1,0.996011725509711,0.502481177635383
13.4,1,0.995584747716755,0.503994350442791
13.5,1,0.995112991909633,0.50560165882126
13.6,1,0.99459232863498,0.507301855082565
13.7,1,0.99401841220804,0.50909553513293
13.8,1,0.993386723844201,0.510985560844331
13.9,1,0.992692659029938,0.512978743384679
14,1,0.991931793300342,0.515093619176504
14.1,1,0.991100279127846,0.5173690333541
14.2,1,0.990192092812554,0.519754935392514
14.3,1,0.989201343170782,0.52222049887346
14.4,1,0.988122289401185,0.524746029215448
14.5,1,0.986949284398273,0.527315278905759
14.6,1,0.985676862041864,0.529913765028187
14.7,1,0.984299884185663,0.532528327216479
14.8,1,0.982813764093696,0.535147367683457
14.9,1,0.981214857892782,0.53776212869289
15,1,0.979501599069494,0.54037269718895
15.1,1,0.977676083004192,0.542995604507369
15.2,1,0.975731777244503,0.545582429363325
15.3,1,0.973663922927195,0.548100383075337
15.4,1,0.97146939455756,0.550525189866431
15.5,1,0.969146200566546,0.55283519108076
15.6,1,0.966693550426256,0.555010059846856
15.7,1,0.964112072548766,0.557030433228216
15.8,1,0.961404187086681,0.558877956116076
15.9,1,0.958574837456605,0.560535752534117
16,1,0.955633966473217,0.561990505088476
16.1,1,0.952599755469544,0.563236280062126
16.2,1,0.949467946575511,0.564251152870144
16.3,1,0.946238470448586,0.565020593311692
16.4,1,0.942914565244709,0.565533798255949
16.5,1,0.939501136137421,0.565781682033203
16.6,1,0.936004528707131,0.56575640973922
16.7,1,0.932432612958402,0.56545123011402
16.8,1,0.928795108947799,0.564860401617735
16.9,1,0.925104422312774,0.563979077748307
17,1,0.921378985201593,0.562802662565536
17.1,1,0.91764730715314,0.561327502696223
17.2,1,0.913902886047796,0.559565057575653
17.3,1,0.910145062887664,0.557527534853039
17.4,1,0.906377209714004,0.555227151684736
17.5,1,0.902604090693323,0.552676718151383
17.6,1,0.898831388926031,0.549889677236516
17.7,1,0.895065672632133,0.546880071091808
17.8,1,0.891314623919281,0.54366250810472
17.9,1,0.887587724025048,0.54025213984952
18,1,0.883899107867749,0.536664605916368
18.1,1,0.88027078773144,0.532916443520833
18.2,1,0.876693366368596,0.529027166904714
18.3,1,0.873163019969852,0.525016975504568
18.4,1,0.869679576269423,0.520906223599589
18.5,1,0.866244085378303,0.516715375064856
18.6,1,0.86285834442779,0.512464957922906
18.7,1,0.85952479036851,0.508175596085998
18.8,1,0.856246557119874,0.503868204308733
18.9,1,0.853027740776781,0.499564593185706
19,1,0.849874587456986,0.495290126565802
19.1,1,0.846796769991901,0.491075841106496
19.2,1,0.843790615090532,0.486919583959077
19.3,1,0.840855229762495,0.482825738069254
19.4,1,0.837991543620458,0.478802771487016
19.5,1,0.835201192546748,0.474860528441053
19.6,1,0.832486242452754,0.471009669008421
19.7,1,0.829849043528006,0.467261618746473
19.8,1,0.827292094549626,0.463628906113195
19.9,1,0.824817840518204,0.460126256550322
20,1,0.82242808634583,0.456775384919756
20.1,1,0.820123395215044,0.453608651107755
20.2,1,0.817910088443064,0.450598484710405
20.3,1,0.815793262172662,0.447729297012602
20.4,1,0.813777150741838,0.444993349311486
20.5,1,0.811865523173401,0.442385892483605
20.6,1,0.810061682119956,0.43990412078417
20.7,1,0.808368339331082,0.437546952723748
20.8,1,0.806787360092317,0.435315316256088
20.9,1,0.805319226500691,0.433213269441965
21,1,0.803961130300883,0.431253037892002
21.1,1,0.802705067173281,0.429458865818115
21.2,1,0.801562952156112,0.427792342516093
21.3,1,0.800541603040751,0.426227894073392
21.4,1,0.799644304724461,0.424748593112414
21.5,1,0.798872470572129,0.423341046469974
21.6,1,0.798225934271641,0.421994265075673
21.7,1,0.797702914918266,0.420699377178051
21.8,1,0.797299729374454,0.419449807727485
21.9,1,0.797010020465524,0.418242133227423
22,1,0.796821647173068,0.41707994137924
22.1,1,0.7967136517,0.415976805523348
22.2,1,0.796699318993302,0.414899225239742
22.3,1,0.796783088385164,0.413824063513829
22.4,1,0.796963476200892,0.412735403728837
22.5,1,0.797236084421971,0.41162064462394
22.6,1,0.797594250057847,0.410469617507431
22.7,1,0.798029153330034,0.409274344413241
22.8,1,0.798529533060234,0.408029143250501
22.9,1,0.799080663928617,0.406731201101293
23,1,0.799659773861044,0.405383150188642
23.1,1,0.800231616982984,0.403995232569722
23.2,1,0.800813957928886,0.402547896664361
23.3,1,0.801411781329389,0.401029453334302
23.4,1,0.802021909743905,0.39943371920224
23.5,1,0.802637652996516,0.39775734806162
23.6,1,0.803249846596887,0.395999177618654
23.7,1,0.803847085520758,0.394160019622935
23.8,1,0.804415413769253,0.392242718942339
23.9,1,0.804937030638405,0.390252619283965
24,1,0.805384307780965,0.388199834832694
24.1,1,0.805713939648091,0.38610157967961
24.2,1,0.805952739235401,0.383949611712626
24.3,1,0.806111551122268,0.381743027181986
24.4,1,0.806191278478104,0.37948557513394
24.5,1,0.806188941732237,0.377183181296258
24.6,1,0.806099018916777,0.374843313798777
24.7,1,0.805913770397845,0.372474768985002
24.8,1,0.805622935931106,0.370087744281685
24.9,1,0.805212366246715,0.367694410120853
25,1,0.804657655632986,0.365311810608674
25.1,1,0.803917741303307,0.362965104660162
25.2,1,0.803025931789074,0.360646342117211
25.3,1,0.801999448230789,0.358356131229031
25.4,1,0.800845620273304,0.356099939752167
