"species","i","j","P_ij","F_ij"
"Lemna minor",1,1,0.999999998170686,0.32616693904551
"Lemna minor",2,1,0.999999992536944,0.465316343516184
"Lemna minor",3,1,0.999999969666657,0.636094152439299
"Lemna minor",4,1,0.999999877881594,0.795051652265921
"Lemna minor",5,1,0.99999951679037,0.87853706933459
"Lemna minor",6,1,0.99999813774138,0.853424783626254
"Lemna minor",7,1,0.999993078275323,0.747696593714609
"Lemna minor",8,1,0.999975438109002,0.620619073652019
"Lemna minor",9,1,0.999917612472206,0.517161848247403
"Lemna minor",10,1,0.999741221836891,0.454648766712033
"Lemna minor",11,1,0.999245382958265,0.433520143594186
"Lemna minor",12,1,0.997972596367605,0.448253202745194
"Lemna minor",13,1,0.995014884415314,0.49005365837596
"Lemna minor",14,1,0.988845455993782,0.544288935815542
"Lemna minor",15,1,0.977392285130443,0.58974775287695
"Lemna minor",16,1,0.958621627011998,0.606010316551786
"Lemna minor",17,1,0.931636899045787,0.585738232782218
"Lemna minor",18,1,0.897711123527516,0.539111367474704
"Lemna minor",19,1,0.860366424229401,0.485161842469704
"Lemna minor",20,1,0.824243728109535,0.439930562363621
"Lemna minor",21,1,0.793527990116878,0.411274917459076
"Lemna minor",22,1,0.770899276353513,0.399791407797913
"Lemna minor",23,1,0.757316466597797,0.40109600768731
"Lemna minor",24,1,0.752342118972302,0.407413689464339
"Lemna minor",25,1,0.754628236697622,0.409514091630119
"Lemna minor",26,1,0.762358689562189,0.400169007070809
"Lemna minor",27,1,0.773594962867572,0.377723881682953
"Lemna minor",28,1,0.786526453881594,0.346637249635232
"Lemna minor",29,1,0.799629834331952,0.31426903668447
"Lemna minor",30,1,0.811740834046336,0.286841666370358
"Lemna minor",1,2,0.999999999998486,0.169297186638001
"Lemna minor",2,2,0.999999999988152,0.332675238596099
"Lemna minor",3,2,0.999999999907993,0.587849570304811
"Lemna minor",4,2,0.999999999299029,0.844000173235338
"Lemna minor",5,2,0.999999994838011,0.939053463374385
"Lemna minor",6,2,0.999999963873539,0.837163986553558
"Lemna minor",7,2,0.999999763917767,0.660301155456982
"Lemna minor",8,2,0.999998584100902,0.52011421779817
"Lemna minor",9,2,0.999992329906199,0.449351586319036
"Lemna minor",10,2,0.999962989321156,0.44043265266181
"Lemna minor",11,2,0.999842711588233,0.475806767936503
"Lemna minor",12,2,0.999416211621248,0.530071466034506
