"i","j","P_ij","F_ij"
1,1,0.141851064900488,0.076667431408019
2,1,0.167981614866075,0.150861719867392
3,1,0.197816111441418,0.225056008326765
4,1,0.231475216500982,0.299250296786138
5,1,0.268941421369995,0.373444585245512
6,1,0.310025518872388,0.447638873704885
7,1,0.354343693774205,0.521833162164258
8,1,0.401312339887548,0.596027450623631
9,1,0.450166002687522,0.670221739083004
10,1,0.5,0.744416027542378
11,1,0.549833997312478,0.818610316001751
12,1,0.598687660112452,0.892804604461124
13,1,0.645656306225795,0.966998892920497
14,1,0.689974481127613,1.04119318137987
15,1,0.731058578630005,1.11538746983924
16,1,0.768524783499018,1.18958175829862
17,1,0.802183888558582,1.26377604675799
18,1,0.832018385133924,1.33797033521736
19,1,0.858148935099512,1.41216462367674
20,1,0.880797077977882,1.48635891213611
1,2,0.153779115832881,0.149299734847195
2,2,0.18164185414912,0.293783349215448
3,2,0.213280568703223,0.438266963583701
4,2,0.248755036631292,0.582750577951954
5,2,0.287970118805678,0.727234192320207
6,2,0.330646352694978,0.87171780668846
7,2,0.37630460667852,1.01620142105671
8,2,0.42427136736778,1.16068503542497
9,2,0.473708482606982,1.30516864979322
10,2,0.523666512457814,1.44965226416147
11,2,0.573155392791056,1.59413587852973
12,2,0.621221674717879,1.73861949289798
13,2,0.667019831144812,1.88310310726623
14,2,0.709866722391369,2.02758672163448
15,2,0.749272649978275,2.17207033600274
16,2,0.784947869666658,2.31655395037099
17,2,0.816788182435574,2.46103756473924
18,2,0.844846085457331,2.6055211791075
19,2,0.869294679501133,2.75000479347575
20,2,0.890390574284859,2.894488407844
1,3,0.166515554372603,0.221932038286371
2,3,0.196151055820985,0.436704978563504
3,3,0.229607938687128,0.651477918840636
4,3,0.266876862546825,0.866250859117769
5,3,0.307778352335247,1.0810237993949
6,3,0.351939147522791,1.29579673967204
7,3,0.398785927215558,1.51056967994917
8,3,0.447561955125789,1.7253426202263
9,3,0.497368445351337,1.94011556050343
10,3,0.547227216340035,2.15488850078057
11,3,0.596155993067379,2.3696614410577
12,3,0.64324437530284,2.58443438133483
13,3,0.687718309206393,2.79920732161197
14,3,0.728983952592733,3.0139802618891
15,3,0.76664691985344,3.22875320216623
16,3,0.800508206540582,3.44352614244336
17,3,0.83054204123694,3.6582990827205
18,3,0.856862736544907,3.87307202299763
19,3,0.879687444744876,4.08784496327476
20,3,0.899300253658223,4.3026179035519
1,4,0.1800823778226,0.294564341725547
2,4,0.211519668295782,0.579626607911559
3,4,0.246793127918347,0.864688874097572
4,4,0.285816594291145,1.14975114028358
5,4,0.328320842499256,1.4348134064696
6,4,0.373837321482972,1.71987567265561
7,4,0.421702226703968,2.00493793884162
8,4,0.471084930211379,2.29000020502764
9,4,0.521040199320114,2.57506247121365
10,4,0.570578186850892,2.86012473739966
11,4,0.618741635089812,3.14518700358567
12,4,0.664677794427264,3.43024926977169
13,4,0.707693985147471,3.7153115359577
14,4,0.747289959058347,4.00037380214371
15,4,0.783165648737387,4.28543606832973
16,4,0.815207713646832,4.57049833451574
17,4,0.8434612695527,4.85556060070175
18,4,0.868094008047943,5.14062286688776
19,4,0.889359026905713,5.42568513307378
20,4,0.907560891971681,5.71074739925979
1,5,0.194496617205873,0.367196645164722
2,5,0.227751260020343,0.722548237259615
3,5,0.264822411383287,1.07789982935451
4,5,0.305540261120995,1.4332514214494
5,5,0.349542084679497,1.78860301354429
6,5,0.396264892101782,2.14395460563919
7,5,0.444960780712932,2.49930619773408
8,5,0.494737036488445,2.85465778982897
9,5,0.544617842291729,3.21000938192386
10,5,0.593619195930657,3.56536097401876
11,5,0.640825159873027,3.92071256611365
12,5,0.685453203403351,4.27606415820854
13,5,0.726899301303165,4.63141575030343
14,5,0.76475848502244,4.98676734239833
15,5,0.79882188979743,5.34211893449322
16,5,0.829055388012868,5.69747052658811
17,5,0.855566838563696,6.052822118683
18,5,0.878568906237947,6.4081737107779
19,5,0.898342983067606,6.76352530287279
20,5,0.915207783124549,7.11887689496768
1,6,0.209769429837312,0.439828948603898
2,6,0.244841649598459,0.865469866607671
3,6,0.283672758353438,1.29111078461144
4,6,0.326003722151333,1.71675170261522
5,6,0.371376580784327,2.14239262061899
6,6,0.419137317418759,2.56803353862276
7,6,0.468462974371947,2.99367445662653
8,6,0.518412722605941,3.41931537463031
9,6,0.567997148740718,3.84495629263408
10,6,0.616255388098077,4.27059721063785
11,6,0.662327624076281,4.69623812864162
12,6,0.705511726871751,5.12187904664539
13,6,0.745296919199223,5.54751996464917
14,6,0.78137277164387,5.97316088265294
15,6,0.813616722126272,6.39880180065671
16,6,0.842066404131629,6.82444271866049
17,6,0.866883996069141,7.25008363666426
18,6,0.888318989180116,7.67572455466803
19,6,0.906673999296625,8.1013654726718
20,6,0.922276270424597,8.52700639067558
1,7,0.225905192497522,0.512461252043074
2,7,0.262778106815419,1.00839149595573
3,7,0.303311313603213,1.50432173986838
4,7,0.347152602540728,2.00025198378103
5,7,0.393749356612961,2.49618222769368
6,7,0.442362618560948,2.99211247160634
7,7,0.49210591916479,3.48804271551899
8,7,0.542006016069326,3.98397295943164
9,7,0.591077394057455,4.47990320334429
10,7,0.638398761516527,4.97583344725695
11,7,0.683179236781899,5.4717636911696
12,7,0.724804668245783,5.96769393508225
13,7,0.76285949499556,6.4636241789949
14,7,0.797124931081316,6.95955442290756
15,7,0.827558400325084,7.45548466682021
16,7,0.854261203632043,7.95141491073286
17,7,0.877441417539316,8.44734515464551
18,7,0.89737765091657,8.94327539855817
19,7,0.914387336461557,9.43920564247082
20,7,0.92880135174083,9.93513588638347
1,8,0.242900625964956,0.58509355548225
2,8,0.281538663724935,1.15131312530378
3,8,0.323695074004132,1.71753269512531
4,8,0.368922494359707,2.28375226494685
5,8,0.416576770810246,2.84997183476838
6,8,0.465842758753243,3.41619140458991
7,8,0.515784227198472,3.98241097441144
8,8,0.565412413213333,4.54863054423298
9,8,0.613763048662626,5.11485011405451
10,8,0.659969408524882,5.68106968387604
11,8,0.703320006537111,6.24728925369757
12,8,0.743293560443083,6.8135088235191
13,8,0.779569242746374,7.37972839334064
14,8,0.812015191457296,7.94594796316217
15,8,0.840661457523295,8.5121675329837
16,8,0.865664601964211,9.07838710280523
17,8,0.887270414186191,9.64460667262677
18,8,0.905779480864832,10.2108262424483
19,8,0.921518353192387,10.7770458122698
20,8,0.934817353738333,11.3432653820914
1,9,0.260743986276936,0.657725858921426
2,9,0.301091576588983,1.29423475465184
3,9,0.344770796951202,1.93074365038225
4,9,0.391239441675833,2.56725254611266
5,9,0.439767607126471,3.20376144184307
6,9,0.489475239069247,3.84027033757349
7,9,0.539391879111487,4.4767792333039
8,9,0.588530713853641,5.11328812903431
9,9,0.635965283215816,5.74979702476472
10,9,0.680896483963795,6.38630592049513
11,9,0.722700098433753,7.02281481622555
12,9,0.760949967117634,7.65932371195596
13,9,0.79541732423924,8.29583260768637
14,9,0.826051053839307,8.93234150341678
15,9,0.852945794747088,9.56885039914719
16,9,0.876304934009137,10.2053592948776
17,9,0.896404209098885,10.841868190608
18,9,0.913559700976824,11.4783770863384
19,9,0.928102103044445,12.1148859820688
20,9,0.940357669485307,12.7513948777993
1,10,0.279414361585467,0.730358162360602
2,10,0.321394978874191,1.43715638399989
3,10,0.366475170658048,2.14395460563919
4,10,0.414020717247706,2.85075282727848
5,10,0.463224426636503,3.55755104891777
6,10,0.513154858206161,4.26434927055706
7,10,0.562824115818131,4.97114749219635
8,10,0.611264732943987,5.67794571383565
9,10,0.65760323770701,6.38474393547494
10,10,0.701118884681883,7.09154215711423
11,10,0.741279914293239,7.79834037875352
12,10,0.777755067644364,8.50513860039281
13,10,0.810403106180572,9.2119368220321
14,10,0.839246398722513,9.9187350436714
15,10,0.864435784532639,10.6255332653107
16,10,0.88621325518229,11.33233148695
17,10,0.904877288098244,12.0391297085893
18,10,0.920753680236148,12.7459279302286
19,10,0.934173001324871,13.4527261518679
20,10,0.945454553140268,14.1595243735071
1,11,0.298881115318117,0.802990465799778
2,11,0.34239676229299,1.58007801334795
3,11,0.388735267056013,2.35716556089612
4,11,0.437175884181869,3.13425310844429
5,11,0.486845141793839,3.91134065599246
6,11,0.536775573363497,4.68842820354064
7,11,0.585979282752294,5.46551575108881
8,11,0.633524829341952,6.24260329863698
9,11,0.678605021125809,7.01969084618515
10,11,0.720585638414532,7.79677839373332
11,11,0.759029920100596,8.5738659412815
12,11,0.793699064227962,9.35095348882967
13,11,0.824533325039029,10.1280410363778
14,11,0.851620575440976,10.905128583926
15,11,0.87515941129707,11.6822161314742
16,11,0.895422609602779,12.4593036790224
17,11,0.912724828228308,13.2363912265705
18,11,0.927396523776981,14.0134787741187
19,11,0.939764555961724,14.7905663216669
20,11,0.950138965199501,15.567653869215
1,12,0.319103516036205,0.875622769238953
2,12,0.364034716784184,1.722999642696
3,12,0.411469286146359,2.57037651615306
4,12,0.460608120888513,3.41775338961011
5,12,0.510524760930753,4.26513026306716
6,12,0.560232392873529,5.11250713652421
7,12,0.608760558324167,5.95988400998126
8,12,0.655229203048798,6.80726088343831
9,12,0.698908423411017,7.65463775689537
10,12,0.739256013723064,8.50201463035242
11,12,0.775930253190169,9.34939150380947
12,12,0.808780451809497,10.1967683772665
13,12,0.837821197404681,11.0441452507236
14,12,0.863197502986862,11.8915221241806
15,12,0.885147465617265,12.7388989976377
16,12,0.903967372439334,13.5862758710947
17,12,0.919982203758227,14.4336527445518
18,12,0.933522732232306,15.2810296180088
19,12,0.944909156169394,16.1284064914659
20,12,0.954440461830594,16.9757833649229
1,13,0.340030591475118,0.948255072678129
2,13,0.386236951337374,1.86592127204406
3,13,0.434587586786667,2.78358747140999
4,13,0.484215772801528,3.70125367077592
5,13,0.534157241246757,4.61891987014186
6,13,0.583423229189754,5.53658606950779
7,13,0.631077505640293,6.45425226887372
8,13,0.676304925995869,7.37191846823965
9,13,0.718461336275065,8.28958466760558
10,13,0.757099374035044,9.20725086697152
11,13,0.791970147128861,10.1249170663374
12,13,0.823005191240966,11.0425832657034
13,13,0.850285509794984,11.9602494650693
14,13,0.87400480535401,12.8779156644352
15,13,0.894432804519881,13.7955818638012
16,13,0.911882669731987,14.7132480631671
17,13,0.92668456720112,15.630914262533
18,13,0.939165925787627,16.548580461899
19,13,0.949637912400782,17.4662466612649
20,13,0.958387122065381,18.3839128606308
1,14,0.361601238483473,1.02088737611731
2,14,0.408922605942545,2.00884290139212
3,14,0.457993983930675,2.99679842666693
4,14,0.50789408083521,3.98475395194174
5,14,0.557637381439052,4.97270947721655
6,14,0.606250643387039,5.96066500249136
7,14,0.652847397459272,6.94862052776617
8,14,0.696688686396787,7.93657605304099
9,14,0.737221893184581,8.9245315783158
10,14,0.774094807502478,9.91248710359061
11,14,0.807147214845638,10.9004426288654
12,14,0.836385823940795,11.8883981541402
13,14,0.861949716965343,12.876353679415
14,14,0.884072999140884,13.8643092046899
15,14,0.903049685358745,14.8522647299647
16,14,0.919203875867208,15.8402202552395
17,14,0.932866501115418,16.8281757805143
18,14,0.944358626743929,17.8161313057891
19,14,0.953980541095818,18.8040868310639
20,14,0.962005507013106,19.7920423563387
1,15,0.383744611901923,1.09351967955648
2,15,0.432002851259282,2.15176453074017
3,15,0.481587277394059,3.21000938192386
4,15,0.531537025628053,4.26825423310755
5,15,0.580862682581241,5.32649908429125
6,15,0.628623419215673,6.38474393547494
7,15,0.673996277848667,7.44298878665863
8,15,0.716327241646562,8.50123363784232
9,15,0.755158350401541,9.55947848902601
10,15,0.790230570162688,10.6177233402097
11,15,0.821466630610546,11.6759681913934
12,15,0.848940562453758,12.7342130425771
13,15,0.872841072443945,13.7924578937608
14,15,0.893434746054303,14.8507027449445
15,15,0.911033176968259,15.9089475961282
16,15,0.925966186443883,16.9671924473118
17,15,0.9385617352663,18.0254372984955
18,15,0.949132094094258,19.0836821496792
19,15,0.95796528796417,20.1419270008629
20,15,0.965320645731056,21.2001718520466
1,16,0.406380804069343,1.16615198299566
2,16,0.455382157708271,2.29468616008823
3,16,0.505262963511556,3.4232203371808
4,16,0.555039219287068,4.55175451427337
5,16,0.603735107898218,5.68028869136594
6,16,0.650457915320503,6.80882286845851
7,16,0.694459738879005,7.93735704555108
8,16,0.735177588616713,9.06589122264365
9,16,0.772248739979657,10.1944253997362
10,16,0.805503382794127,11.3229595768288
11,16,0.834940249412532,12.4514937539214
12,16,0.860692386545777,13.5800279310139
13,16,0.882989809614395,14.7085621081065
14,16,0.902124178363073,15.8370962851991
