"sim","i","j"
"Sim 1",1,1
"Sim 1",2,1
"Sim 1",3,2
"Sim 1",4,2
"Sim 1",5,3
"Sim 1",6,3
"Sim 1",7,4
"Sim 1",8,4
"Sim 1",9,5
"Sim 1",10,5
"Sim 1",11,6
"Sim 1",12,6
"Sim 1",13,7
"Sim 1",14,7
"Sim 1",15,8
"Sim 1",16,8
"Sim 1",17,9
"Sim 1",18,9
"Sim 1",19,10
"Sim 1",20,10
"Sim 2",1,1
"Sim 2",2,1
"Sim 2",3,2
"Sim 2",4,2
"Sim 2",5,3
"Sim 2",6,3
"Sim 2",7,4
"Sim 2",8,4
"Sim 2",9,5
"Sim 2",10,5
"Sim 2",11,6
"Sim 2",12,6
"Sim 2",13,7
"Sim 2",14,7
"Sim 2",15,8
"Sim 2",16,8
"Sim 2",17,9
"Sim 2",18,9
"Sim 2",19,10
"Sim 2",20,10
"Sim 3",1,1
"Sim 3",2,1
"Sim 3",3,2
"Sim 3",4,2
"Sim 3",5,3
"Sim 3",6,3
"Sim 3",7,4
"Sim 3",8,4
"Sim 3",9,5
"Sim 3",10,5
"Sim 3",11,6
"Sim 3",12,6
"Sim 3",13,7
"Sim 3",14,7
"Sim 3",15,8
"Sim 3",16,8
"Sim 3",17,9
"Sim 3",18,9
"Sim 3",19,10
"Sim 3",20,10
"Sim 4",1,1
"Sim 4",2,1
"Sim 4",3,2
"Sim 4",4,2
"Sim 4",5,3
"Sim 4",6,3
"Sim 4",7,4
"Sim 4",8,4
"Sim 4",9,5
"Sim 4",10,5
"Sim 4",11,6
"Sim 4",12,6
"Sim 4",13,7
"Sim 4",14,7
"Sim 4",15,8
"Sim 4",16,8
"Sim 4",17,9
"Sim 4",18,9
"Sim 4",19,10
"Sim 4",20,10
"Sim 5",1,1
"Sim 5",2,1
"Sim 5",3,2
"Sim 5",4,2
"Sim 5",5,3
"Sim 5",6,3
"Sim 5",7,4
"Sim 5",8,4
"Sim 5",9,5
"Sim 5",10,5
"Sim 5",11,6
"Sim 5",12,6
"Sim 5",13,7
"Sim 5",14,7
"Sim 5",15,8
"Sim 5",16,8
"Sim 5",17,9
"Sim 5",18,9
"Sim 5",19,10
"Sim 5",20,10
