"species","i","j"
"Lemna minor",1,1
"Lemna minor",2,1
"Lemna minor",3,1
"Lemna minor",4,2
"Lemna minor",5,2
"Lemna minor",6,3
"Lemna minor",7,3
"Lemna minor",8,3
"Lemna minor",9,4
"Lemna minor",10,4
"Lemna minor",11,4
"Lemna minor",12,5
"Lemna minor",13,5
"Lemna minor",14,5
"Lemna minor",15,6
"Lemna minor",16,6
"Lemna minor",17,6
"Lemna minor",18,7
"Lemna minor",19,7
"Lemna minor",20,7
"Lemna minor",21,8
"Lemna minor",22,8
"Lemna minor",23,8
"Lemna minor",24,8
"Lemna minor",25,8
"Lemna minor",26,8
"Lemna minor",27,8
"Lemna minor",28,8
"Lemna minor",29,8
"Lemna minor",30,8
